t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2025,50.38172,53.66228,36.42853,19.83704,27.17513,29.61209,18.13979,10.39573,6.058776,19.17252,43.5649,35.25089,34.74183,28.06141,18.01863,27.41285,22.18262,9.776122,35.05348,42.4437,15.45682,14.44743,32.87389,55.67649,12.50377,9.278899
2026,50.7266,53.7506,36.74883,20.14665,27.55562,30.1893,18.47975,10.55662,6.149073,19.73776,43.78451,35.69304,35.09534,28.51648,18.27119,27.86046,22.47402,10.01614,35.49192,42.63496,15.75633,14.74247,33.10999,55.86095,12.62151,9.374212
2027,51.05711,53.84107,37.06706,20.46112,27.94016,30.76937,18.81824,10.723,6.243714,20.32837,44.00198,36.14051,35.44884,28.9702,18.53358,28.31765,22.75962,10.26728,35.92444,42.82842,16.05773,15.04461,33.34247,56.04382,12.74336,9.472071
2028,51.38526,53.93334,37.38384,20.77952,28.3283,31.35499,19.15521,10.89434,6.342923,20.94451,44.21686,36.59131,35.80211,29.42161,18.80622,28.78447,23.04225,10.53006,36.3527,43.02518,16.3636,15.3541,33.57172,56.22284,12.86964,9.572536
2029,51.69009,54.0276,37.69931,21.10044,28.72336,31.94737,19.49083,11.07106,6.446928,21.58648,44.42919,37.04461,36.15492,29.86581,19.08977,29.26161,23.32349,10.80475,36.77631,43.22604,16.67422,15.67214,33.7978,56.39822,13.00047,9.675666
2030,51.96788,54.12377,38.01307,21.42374,29.12175,32.54596,19.82405,11.25298,6.555974,22.25413,44.63919,37.49988,36.50706,30.30254,19.3846,29.74967,23.60336,11.0917,37.19518,43.43164,16.98959,15.99862,34.0209,56.56992,13.13648,9.781523
2031,52.32158,54.19497,38.30898,21.74243,29.46154,33.09647,20.13263,11.42236,6.669856,22.87551,44.84657,37.91555,36.82244,30.66662,19.62913,30.15238,23.82456,11.38034,37.56414,43.60598,17.27693,16.27406,34.21841,56.71712,13.27243,9.884255
2032,52.66259,54.26752,38.60302,22.0636,29.80275,33.65231,20.44383,11.59632,6.789246,23.51916,45.05118,38.3319,37.13694,31.01758,19.88082,30.56416,24.04601,11.68098,37.92857,43.78371,17.568,16.55523,34.41356,56.86179,13.4131,9.989591
2033,52.99283,54.34106,38.89511,22.38827,30.14928,34.21378,20.75893,11.77529,6.914424,24.1851,45.2529,38.74858,37.4504,31.35355,20.14079,30.9861,24.26888,11.99408,38.28821,43.96509,17.86278,16.84228,34.60634,57.00449,13.55863,10.09758
2034,53.31322,54.41553,39.18491,22.71624,30.49726,34.78001,21.07762,11.95925,7.045687,24.87287,45.45184,39.16535,37.76266,31.67549,20.40945,31.41836,24.49303,12.32023,38.64321,44.15046,18.15946,17.13527,34.79708,57.14532,13.7092,10.20829
2035,53.62991,54.49045,39.47314,23.04881,30.87584,35.34315,21.39931,12.14811,7.183349,25.58037,45.64724,39.5821,38.07356,32.17885,20.6868,31.86091,24.71311,12.6614,38.99022,44.33961,18.46213,17.43198,34.9836,57.29251,13.86585,10.32177
2036,53.9338,54.55814,39.74553,23.37973,31.24525,35.87831,21.68626,12.33492,7.334647,26.25942,45.85183,39.96128,38.37578,32.66059,20.90987,32.21298,24.90017,12.998,39.3077,44.52562,18.75636,17.68501,35.15872,57.42394,14.03067,10.45992
2037,54.22812,54.62705,40.01501,23.70924,31.61865,36.41589,21.97411,12.52608,7.493708,26.95746,46.05377,40.33949,38.67646,33.16338,21.13688,32.56934,25.08828,13.34704,39.6198,44.71509,19.05383,17.94204,35.33189,57.55341,14.20106,10.60219
2038,54.51629,54.69659,40.28185,24.04019,31.99607,36.95603,22.26458,12.72232,7.660949,27.67403,46.25325,40.71681,38.97547,33.68198,21.37055,32.93301,25.27873,13.70913,39.92673,44.90816,19.35539,18.2036,35.50323,57.6817,14.37722,10.74867
2039,54.80016,54.76675,40.54584,24.37229,32.3773,37.49795,22.55762,12.92369,7.83681,28.40886,46.45078,41.09316,39.27269,34.21498,21.61143,33.30407,25.47136,14.08468,40.22848,45.10502,19.66116,18.46997,35.67281,57.80883,14.55928,10.8995
2040,55.08144,54.83755,40.80685,24.70524,32.76234,38.04123,22.85318,13.13021,8.02175,29.16078,46.64682,41.46871,39.56798,34.76165,21.86008,33.68252,25.66553,14.4741,40.52507,45.30589,19.97127,18.74133,35.84068,57.93478,14.74735,11.05479
2041,55.33871,54.89703,41.06457,25.0349,33.13364,38.56155,23.12428,13.33979,8.221577,29.87127,46.84013,41.79433,39.84455,35.25096,22.06541,33.97729,25.83653,14.84664,40.79303,45.4894,20.27004,18.98275,36.01148,58.05977,14.9371,11.23985
2042,55.60112,54.95736,41.31901,25.36506,33.5095,39.0826,23.39883,13.55474,8.432037,30.59762,47.03415,42.12145,40.1192,35.75571,22.27834,34.27713,26.00914,15.2318,41.05618,45.67674,20.57333,19.2286,36.18063,58.18347,15.13288,11.4313
