t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2032,65.64839,67.41721,48.52519,28.44768,36.53114,41.93054,26.56053,15.21749,9.116122,30.27205,56.79324,49.39051,47.5451,39.68645,26.13283,38.88645,30.77922,15.54403,47.93165,57.06636,23.11744,21.72573,44.12782,70.53117,17.85627,13.23257
2033,66.00172,67.44757,48.85864,28.85371,36.9291,42.59696,26.95718,15.44463,9.279397,31.11368,57.0121,49.90446,47.92653,40.0969,26.46074,39.40113,31.05078,15.95114,48.35707,57.27004,23.49215,22.09132,44.35356,70.65196,18.0398,13.36886
2034,66.3404,67.47709,49.18795,29.26354,37.32767,43.26741,27.35802,15.67805,9.450665,31.98234,57.22641,50.41781,48.30585,40.48871,26.79967,39.92796,31.32357,16.37509,48.77547,57.47845,23.86889,22.4643,44.57619,70.76872,18.22982,13.50858
2035,66.67185,67.50509,49.51388,29.6788,37.76242,43.93191,27.76225,15.91762,9.630336,32.87528,57.43517,50.93038,48.68289,41.11164,27.1496,40.46681,31.59075,16.81847,49.18265,57.6913,24.25305,22.84171,44.7929,70.89154,18.4277,13.65183
2036,66.98476,67.522,49.81863,30.09141,38.18462,44.55956,28.12097,16.15422,9.828096,33.73056,57.65436,51.39391,49.04824,41.70604,27.4279,40.88971,31.81528,17.25526,49.55137,57.89952,24.62562,23.16151,44.99451,70.993,18.63619,13.82752
2037,67.28294,67.53807,50.11824,30.50172,38.61031,45.18803,28.48038,16.39625,10.03605,34.60907,57.86902,51.85545,49.41103,42.32637,27.71102,41.31706,32.04076,17.70801,49.91213,58.11173,25.00196,23.48615,45.19309,71.09012,18.85183,14.00847
2038,67.57067,67.55251,50.41301,30.91335,39.03957,45.81739,28.84273,16.64463,10.25474,35.51022,58.07927,52.31511,49.77113,42.96588,28.00249,41.75263,32.26879,18.17752,50.26515,58.32807,25.38319,23.81633,45.3888,71.18368,19.07488,14.19479
2039,67.84982,67.56516,50.70266,31.32592,39.47193,46.44658,29.20791,16.89943,10.48474,36.43354,58.28581,52.77277,50.1283,43.62273,28.30304,42.19648,32.4992,18.66427,50.61032,58.54876,25.76944,24.15241,45.58165,71.2737,19.30547,14.38664
2040,68.12257,67.57581,50.98698,31.73902,39.90743,47.07488,29.57588,17.16067,10.72665,37.37749,58.48914,53.22862,50.48241,44.29593,28.61337,42.64856,32.7311,19.16879,50.94773,58.77405,26.16084,24.4946,45.7718,71.36002,19.54375,14.58416
2041,68.37566,67.58157,51.2725,32.15002,40.33316,47.68059,29.91382,17.42686,10.9883,38.27102,58.69457,53.62455,50.8136,44.89803,28.86849,42.998,32.93565,19.65085,51.25508,58.98354,26.53855,24.79926,45.96781,71.44926,19.78478,14.82139
2042,68.63247,67.58614,51.55259,32.56124,40.76333,48.28516,30.25582,17.69978,11.26389,39.18384,58.89981,54.02185,51.14179,45.51885,29.13325,43.35302,33.14189,20.14902,51.55549,59.19759,26.92171,25.10938,46.16121,71.53487,20.03353,15.06682
2043,68.8916,67.58932,51.82705,32.97216,41.19765,48.88811,30.60312,17.97944,11.55417,40.11429,59.10449,54.42002,51.46685,46.15643,29.40737,43.71362,33.3501,20.66356,51.84897,59.4162,27.31062,25.42742,46.3521,71.61752,20.2901,15.32069
2044,69.14706,67.59082,52.09566,33.3824,41.63508,49.48866,30.95659,18.26606,11.85992,41.05862,59.30695,54.81713,51.78861,46.80522,29.68938,44.07971,33.56088,21.19467,52.13539,59.63933,27.70476,25.75157,46.54055,71.69628,20.55489,15.58325
2045,69.39437,67.59017,52.3582,33.7914,42.0746,50.08588,31.31721,18.55985,12.18196,42.01348,59.50574,55.21152,52.10699,47.46088,29.97798,44.45102,33.77442,21.74244,52.41476,59.86691,28.10383,26.08245,46.72663,71.77114,20.82814,15.85476
2046,69.59863,67.57588,52.62619,34.19697,42.49773,50.66629,31.66385,18.85984,12.52486,42.9159,59.69877,55.57296,52.40718,48.05854,30.2142,44.75077,33.97248,22.27279,52.66854,60.08329,28.4929,26.38617,46.91211,71.83131,21.10555,16.16405
